Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,52.349998,52.349998,52.349998,52.349998,49.200344,0
2014-12-30,52.099998,52.099998,52.099998,52.099998,48.965374,0
2014-12-31,51.599998,51.599998,51.599998,51.599998,48.495464,0
2015-01-02,51.570000,51.570000,51.570000,51.570000,48.467270,0
2015-01-05,50.660000,50.660000,50.660000,50.660000,47.612015,0
2015-01-06,50.169998,50.169998,50.169998,50.169998,47.151497,0
2015-01-07,50.770000,50.770000,50.770000,50.770000,47.715405,0
2015-01-08,51.660000,51.660000,51.660000,51.660000,48.551846,0
2015-01-09,51.240002,51.240002,51.240002,51.240002,48.157124,0
2015-01-12,50.849998,50.849998,50.849998,50.849998,47.790585,0
2015-01-13,50.750000,50.750000,50.750000,50.750000,47.696606,0
2015-01-14,50.470001,50.470001,50.470001,50.470001,47.433445,0
2015-01-15,49.950001,49.950001,49.950001,49.950001,46.944733,0
2015-01-16,50.639999,50.639999,50.639999,50.639999,47.593216,0
2015-01-20,50.680000,50.680000,50.680000,50.680000,47.630817,0
2015-01-21,50.910000,50.910000,50.910000,50.910000,47.846977,0
2015-01-22,51.709999,51.709999,51.709999,51.709999,48.598850,0
2015-01-23,51.459999,51.459999,51.459999,51.459999,48.363884,0
2015-01-26,51.680000,51.680000,51.680000,51.680000,48.570648,0
2015-01-27,51.070000,51.070000,51.070000,51.070000,47.997349,0
2015-01-28,50.369999,50.369999,50.369999,50.369999,47.339466,0
2015-01-29,50.849998,50.849998,50.849998,50.849998,47.790585,0
2015-01-30,50.169998,50.169998,50.169998,50.169998,47.151497,0
2015-02-02,50.770000,50.770000,50.770000,50.770000,47.715405,0
2015-02-03,51.529999,51.529999,51.529999,51.529999,48.429672,0
2015-02-04,51.330002,51.330002,51.330002,51.330002,48.241707,0
2015-02-05,51.900002,51.900002,51.900002,51.900002,48.777416,0
2015-02-06,51.740002,51.740002,51.740002,51.740002,48.627033,0
2015-02-09,51.509998,51.509998,51.509998,51.509998,48.410881,0
2015-02-10,52.029999,52.029999,52.029999,52.029999,48.899590,0
2015-02-11,52.040001,52.040001,52.040001,52.040001,48.908993,0
2015-02-12,52.560001,52.560001,52.560001,52.560001,49.397701,0
2015-02-13,52.799999,52.799999,52.799999,52.799999,49.623268,0
2015-02-17,52.889999,52.889999,52.889999,52.889999,49.707851,0
2015-02-18,52.910000,52.910000,52.910000,52.910000,49.726650,0
2015-02-19,52.869999,52.869999,52.869999,52.869999,49.689053,0
